tick,wind,sun,s1,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
33,7.320554103410366,13.25059593713229,6.005859375,9.0966796875,8.935546875,7.0458984375,8.5400390625,9.111328125,9.6533203125,8.9208984375,7.3388671875,7.4560546875,8.935546875,9.4482421875,8.935546875,7.67578125,7.8076171875,9.1259765625,9.8291015625,8.9794921875,7.2802734375,7.119140625,9.4921875,9.90234375,9.345703125,7.6171875,1.0349974036216736,2.159261558618811,0.6886613037851123,0.14875084161758423,1.1367309424612259e-3,1.3969838619232178e-2,7.70291727450159e-2,9.581912308931351e-2,5.5092904302808995e-3,2.4139881134033203e-2,1.3969838619232178e-2,4.791654646396637e-3,0.0,1.4197495248582633e-3,5.5092904302808995e-3,3.771856427192688e-4
34,6.620740132533233,12.364118732380076,6.1376953125,9.2138671875,9.052734375,7.177734375,8.671875,9.2431640625,9.84375,9.0380859375,7.529296875,7.587890625,9.111328125,9.5654296875,9.111328125,7.8662109375,7.998046875,9.2578125,10.01953125,9.111328125,7.3974609375,7.236328125,9.6826171875,10.0341796875,9.5361328125,7.8076171875,0.8940696716308594,2.2822287347581662,0.6886613037851123,5.7220458984375e-2,5.174014303419326e-4,7.152557373046875e-3,6.863381713628769e-2,0.11744029406044221,7.152557373046875e-3,2.218358632591036e-2,7.152557373046875e-3,4.791654646396637e-3,0.0,5.174014303419326e-4,5.5092904302808995e-3,6.886613037851124e-4
35,6.6710168441682,11.130083885843517,5.625,8.525390625,8.3642578125,6.6064453125,8.0126953125,8.5546875,9.1552734375,8.349609375,6.8994140625,7.0166015625,8.3642578125,8.876953125,8.4375,7.236328125,7.3681640625,8.5693359375,9.3310546875,8.408203125,6.8408203125,6.6796875,8.994140625,9.345703125,8.7744140625,7.177734375,0.6517767906188965,2.1997466683387756,0.9166081953379845,0.11175870895385742,8.940696716308594e-4,1.3969838619232178e-2,6.863381713628769e-2,0.14875084161758423,1.1357996198866106e-2,2.218358632591036e-2,5.5092904302808995e-3,5.5092904302808995e-3,0.0,3.771856427192688e-4,4.1392114427354606e-3,1.7462298274040222e-3
36,6.403170626961083,9.71939710134345,4.74609375,7.3974609375,7.3095703125,5.6689453125,7.03125,7.5,8.02734375,7.3388671875,5.9619140625,6.0791015625,7.3681640625,7.8076171875,7.4267578125,6.240234375,6.4306640625,7.5,8.203125,7.3974609375,5.888671875,5.80078125,7.9248046875,8.2177734375,7.705078125,6.181640625,0.457763671875,2.0022881734702325,1.0850694444444446,0.11744029406044221,6.886613037851124e-4,3.0691735446453094e-2,7.70291727450159e-2,0.12331124809053211,1.0184012353420258e-2,2.033594581815932e-2,3.5488564107153155e-3,2.541993227269915e-3,0.0,1.774686906072829e-4,4.791654646396637e-3,1.1367309424612259e-3
37,5.816733858285505,9.642830819186399,3.720703125,6.0205078125,5.9912109375,4.599609375,5.80078125,6.181640625,6.708984375,6.005859375,4.8193359375,5.009765625,6.123046875,6.4892578125,6.123046875,5.1123046875,5.302734375,6.2255859375,6.8408203125,6.064453125,4.7607421875,4.74609375,6.62109375,6.8408203125,6.4013671875,5.0537109375,0.2550990838143562,1.6435375437140465,1.1900067329406738,0.14875084161758423,2.649095323350695e-4,3.565982398059635e-2,9.086396959092885e-2,6.087176087829803e-2,9.093847539689807e-3,1.2618903484609393e-2,3.5488564107153155e-3,2.541993227269915e-3,0.0,5.174014303419326e-7,3.0174851417541504e-3,5.174014303419326e-4
38,5.928524005829031,9.159964044692593,3.603515625,5.830078125,5.80078125,4.4091796875,5.6689453125,5.9912109375,6.5185546875,5.8740234375,4.6435546875,4.8193359375,5.9326171875,6.298828125,5.9326171875,4.9951171875,5.1123046875,6.0498046875,6.650390625,5.8740234375,4.6435546875,4.5556640625,6.4306640625,6.650390625,6.2109375,4.86328125,0.2271268102857802,1.419749524858263,1.0850694444444446,0.11175870895385742,2.649095323350695e-4,3.3113691541883684e-2,0.11744029406044221,3.3113691541883684e-2,4.791654646396637e-3,1.6954210069444448e-2,3.0174851417541504e-3,1.1367309424612259e-3,0.0,4.139211442735461e-6,3.0174851417541504e-3,3.3113691541883687e-5
39,6.073967237285316,8.898910135129492,3.28125,5.44921875,5.4345703125,4.0869140625,5.2734375,5.625,6.1376953125,5.4931640625,4.3212890625,4.51171875,5.5517578125,5.91796875,5.5517578125,4.6142578125,4.8046875,5.6689453125,6.2841796875,5.4931640625,4.2626953125,4.248046875,6.0498046875,6.26953125,5.830078125,4.5556640625,0.12331124809053211,1.0105496686365871,0.7465569716360835,0.14209136780765325,2.649095323350695e-4,3.0691735446453094e-2,8.147209882736206e-2,1.0184012353420258e-2,2.541993227269915e-3,1.2618903484609393e-2,2.119276258680556e-3,3.771856427192688e-4,0.0,4.139211442735461e-6,2.119276258680556e-3,5.174014303419326e-7
40,5.236807149282252,7.75224984600158,2.9736328125,5.0830078125,4.9951171875,3.7060546875,4.951171875,5.244140625,5.771484375,5.1123046875,4.013671875,4.2041015625,5.185546875,5.537109375,5.185546875,4.306640625,4.423828125,5.2880859375,5.8447265625,5.1123046875,3.9404296875,3.92578125,5.68359375,5.830078125,5.44921875,4.1748046875,8.147209882736206e-2,0.9166081953379845,0.6338390004303721,6.087176087829803e-2,1.3969838619232178e-5,1.859385520219803e-2,8.608266297313903e-2,4.791654646396637e-3,1.4197495248582633e-3,1.3969838619232178e-2,2.119276258680556e-3,3.3113691541883687e-5,0.0,4.139211442735461e-6,3.0174851417541504e-3,0.0
41,6.098907954872081,6.523927341755357,2.2119140625,4.072265625,4.0576171875,2.8857421875,4.04296875,4.306640625,4.7607421875,4.1748046875,3.134765625,3.3837890625,4.248046875,4.599609375,4.248046875,3.427734375,3.6181640625,4.3359375,4.8486328125,4.1748046875,3.134765625,3.1201171875,4.6875,4.8193359375,4.453125,3.310546875,0.10626338836219579,0.8501071068975663,0.457763671875,4.113703552219604e-2,5.174014303419326e-7,1.6954210069444448e-2,6.863381713628769e-2,5.5092904302808995e-3,8.940696716308594e-4,1.6954210069444448e-2,1.1367309424612259e-3,5.174014303419326e-7,0.0,4.139211442735461e-6,2.119276258680556e-3,0.0
42,7.359223505929112,6.051591510929168,1.259765625,2.8125,2.8125,1.8896484375,2.9296875,3.1201171875,3.5009765625,2.9736328125,2.0654296875,2.373046875,3.1201171875,3.3984375,3.1201171875,2.373046875,2.548828125,3.2080078125,3.603515625,3.0322265625,2.1240234375,2.1240234375,3.486328125,3.57421875,3.251953125,2.2412109375,0.1293746754527092,0.5989568307995796,0.35259458753797757,1.5413906011316513e-2,0.0,1.2618903484609393e-2,4.4074323442247196e-2,2.541993227269915e-3,6.467517879274157e-5,1.1357996198866106e-2,6.886613037851124e-4,0.0,0.0,0.0,8.940696716308594e-4,0.0
